config_id,dataset,family,data_fraction,itemknn.topk,itemknn.shrink,als.factors,als.epochs,als.regularisation,als.alpha,multvae.latent,multvae.hidden,multvae.epochs,multvae.dropout,markov.order,markov.smoothing,markov.decay,val_ndcg_at_10,val_recall_at_10,val_exposure_parity,train_cpu_seconds,train_wall_seconds,score_cpu_seconds,score_wall_seconds,select_cpu_seconds,serve_cpu_seconds_per_request,peak_rss_bytes,model_bytes,n_train_interactions,n_eval_users,val_ndcg_at_10_spread,val_recall_at_10_spread,val_exposure_parity_spread,train_cpu_seconds_spread,train_wall_seconds_spread,score_cpu_seconds_spread,score_wall_seconds_spread,select_cpu_seconds_spread,serve_cpu_seconds_per_request_spread,peak_rss_bytes_spread,model_bytes_spread,n_train_interactions_spread,n_eval_users_spread,n_seeds
popularity||frac=0.25,ml100k,popularity,0.25,,,,,,,,,,,,,,0.017457135751078,0.033934252386002,0.459243548957228,0.000115356220007,0.0001154263935,0.059895833333333,0.061934033333576,0.036458333333333,0.000102178331565,371560448.0,10792.0,24706.0,943.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1
popularity||frac=1.0,ml100k,popularity,1.0,,,,,,,,,,,,,,0.034210171566329,0.073170731707317,0.6057264050901371,0.00019183548189,0.000182046654389,0.057291666666666,0.058266316666655,0.036458333333333,9.94167550371156e-05,373837824.0,10792.0,97401.0,943.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1
markov|order=1;smoothing=0.1;decay=false|frac=0.25,ml100k,markov,0.25,,,,,,,,,,,1.0,0.1,0.0,0.036229160834975,0.071049840933191,0.603817603393425,0.025240384615384,0.025678661538852,0.135416666666666,0.136954433333206,0.036458333333333,0.000182264050901,412442624.0,283492.0,24706.0,943.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1
markov|order=1;smoothing=0.5;decay=false|frac=0.5,ml100k,markov,0.5,,,,,,,,,,,1.0,0.5,0.0,0.041422140448524,0.083775185577942,0.624284199363732,0.046875,0.04799774285805,0.135416666666666,0.136367033332741,0.034722222222222,0.000180422999882,377303040.0,518644.0,48939.0,943.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1
markov|order=1;smoothing=0.5;decay=false|frac=1.0,ml100k,markov,1.0,,,,,,,,,,,1.0,0.5,0.0,0.076887166977308,0.142099681866383,0.6176740897843761,0.078125,0.085459300000366,0.135416666666666,0.136758399996324,0.03125,0.000176740897843,383488000.0,777880.0,97401.0,943.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1
als|factors=32;epochs=5;regularisation=0.01;alpha=1.0|frac=1.0,ml100k,als,1.0,,,32.0,5.0,0.01,1.0,,,,,,,,0.077170461291231,0.158006362672322,0.595334040296924,0.65625,0.6650317999992691,0.0625,0.061256499999944,0.0328125,0.000101073700954,380858368.0,586752.0,97401.0,943.0,0.010571464486006,0.007423117709438,0.012972781901732,0.078125,0.068805400009296,0.0083333333333339,0.0079064233331639,0.0078125,1.7121774478501948e-05,6529024,0,0,0,3
als|factors=64;epochs=5;regularisation=0.1;alpha=1.0|frac=1.0,ml100k,als,1.0,,,64.0,5.0,0.1,1.0,,,,,,,,0.079031009902108,0.159066808059384,0.5943796394485681,1.328125,1.3221563999995851,0.065625,0.067587959999946,0.038194444444444,0.000110094850948,380858368.0,1173504.0,97401.0,943.0,0.005361509440376,0.001060445387063,0.0110993283845889,0.3125,0.3558775000001328,0.0145833333333339,0.0120545100002339,0.009765625,2.5820740543501948e-05,5500928,0,0,0,3
als|factors=32;epochs=15;regularisation=0.01;alpha=1.0|frac=1.0,ml100k,als,1.0,,,32.0,15.0,0.01,1.0,,,,,,,,0.079068094664324,0.159066808059384,0.596465182043124,1.96875,1.973599400000239,0.0625,0.060528180000255,0.0328125,0.000101073700954,380858368.0,586752.0,97401.0,943.0,0.0020467586300089,0.0084835630965,0.0048780487804869,0.359375,0.4081503999977938,0.0083333333333339,0.010759463334307,0.009765625,1.9192956874501945e-05,6184960,0,0,0,3
als|factors=32;epochs=30;regularisation=0.1;alpha=1.0|frac=1.0,ml100k,als,1.0,,,32.0,30.0,0.1,1.0,,,,,,,,0.079475733232263,0.16118769883351,0.5965358784022621,3.921875,3.956402900001194,0.065625,0.06443045999913,0.0328125,0.000104387592788,378834944.0,586752.0,97401.0,943.0,0.004190335624702,0.0074231177094379,0.0058324496288439,0.671875,0.7943279999981323,0.0083333333333339,0.0077097666666,0.001909722222222,1.0862201013216684e-05,7016448,0,0,0,3
