config_id,dataset,family,data_fraction,itemknn.topk,itemknn.shrink,als.factors,als.epochs,als.regularisation,als.alpha,multvae.latent,multvae.hidden,multvae.epochs,multvae.dropout,markov.order,markov.smoothing,markov.decay,val_ndcg_at_10,val_recall_at_10,val_exposure_parity,train_cpu_seconds,train_wall_seconds,score_cpu_seconds,score_wall_seconds,select_cpu_seconds,serve_cpu_seconds_per_request,peak_rss_bytes,model_bytes,n_train_interactions,n_eval_users,val_ndcg_at_10_spread,val_recall_at_10_spread,val_exposure_parity_spread,train_cpu_seconds_spread,train_wall_seconds_spread,score_cpu_seconds_spread,score_wall_seconds_spread,select_cpu_seconds_spread,serve_cpu_seconds_per_request_spread,peak_rss_bytes_spread,model_bytes_spread,n_train_interactions_spread,n_eval_users_spread,n_seeds
popularity||frac=0.5,gift_cards,popularity,0.5,,,,,,,,,,,,,,0.091025123512025,0.202672605790645,0.0,8.30675172780436e-05,8.15682615629941e-05,0.0234375,0.023954092857138,0.00244140625,5.7636762249443207e-05,395444224.0,1168.0,1164.0,449.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1
popularity||frac=0.25,gift_cards,popularity,0.25,,,,,,,,,,,,,,0.099684401008618,0.231625835189309,0.0,8.697467297522963e-05,8.354319510154559e-05,0.024038461538461,0.024669907692301,0.002626050420168,5.93864408878165e-05,395444224.0,1168.0,636.0,449.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1
itemknn|topk=300;shrink=100.0|frac=0.5,gift_cards,itemknn,0.5,300.0,100.0,,,,,,,,,,,,0.180881298179788,0.340757238307349,0.590571640682999,0.000382029339853,0.000374071026894,0.024038461538461,0.024657253846166,0.002582644628099,5.928976874512408e-05,395444224.0,170528.0,1164.0,449.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1
itemknn|topk=300;shrink=10.0|frac=0.5,gift_cards,itemknn,0.5,300.0,10.0,,,,,,,,,,,,0.182021870088859,0.334075723830734,0.572531551596139,0.000388681592039,0.000383477114427,0.024038461538461,0.024813200000013,0.002604166666666,5.933770201587575e-05,395444224.0,170528.0,1164.0,449.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1
itemknn|topk=300;shrink=100.0|frac=1.0,gift_cards,itemknn,1.0,300.0,100.0,,,,,,,,,,,,0.186595172931594,0.400890868596881,0.380623608017817,0.000461595273264,0.000478502511078,0.026041666666666,0.026685375000018,0.002561475409836,6.370410262027335e-05,395444224.0,170528.0,2041.0,449.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1
itemknn|topk=300;shrink=10.0|frac=1.0,gift_cards,itemknn,1.0,300.0,10.0,,,,,,,,,,,,0.190153832497763,0.400890868596881,0.544320712694877,0.000493680884676,0.000484765876777,0.024038461538461,0.024851646153855,0.002648305084745,5.943600584233252e-05,395444224.0,170528.0,2041.0,449.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1
markov|order=1;smoothing=0.5;decay=true|frac=1.0,gift_cards,markov,1.0,,,,,,,,,,,1.0,0.5,1.0,0.193607009592108,0.32739420935412,0.5793615441722341,0.00309405940594,0.003203300990095,0.0546875,0.056373416666626,0.002765486725663,0.000127957654177,313528320.0,15388.0,2041.0,449.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1
markov|order=1;smoothing=0.5;decay=false|frac=1.0,gift_cards,markov,1.0,,,,,,,,,,,1.0,0.5,0.0,0.197490449933868,0.336302895322939,0.54120267260579,0.003360215053763,0.003505234408602,0.0859375,0.085734349999938,0.0031249999999999,0.000198357461024,313528320.0,15388.0,2041.0,449.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1
markov|order=1;smoothing=0.1;decay=false|frac=1.0,gift_cards,markov,1.0,,,,,,,,,,,1.0,0.1,0.0,0.197726006069792,0.336302895322939,0.555456570155902,0.003955696202531,0.003936237974686,0.057291666666666,0.058200700000043,0.002741228070175,0.000133703551752,313516032.0,15388.0,2041.0,449.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1
