config_id,dataset,family,data_fraction,itemknn.topk,itemknn.shrink,als.factors,als.epochs,als.regularisation,als.alpha,multvae.latent,multvae.hidden,multvae.epochs,multvae.dropout,markov.order,markov.smoothing,markov.decay,val_ndcg_at_10,val_recall_at_10,val_exposure_parity,train_cpu_seconds,train_wall_seconds,score_cpu_seconds,score_wall_seconds,select_cpu_seconds,serve_cpu_seconds_per_request,peak_rss_bytes,model_bytes,n_train_interactions,n_eval_users,val_ndcg_at_10_spread,val_recall_at_10_spread,val_exposure_parity_spread,train_cpu_seconds_spread,train_wall_seconds_spread,score_cpu_seconds_spread,score_wall_seconds_spread,select_cpu_seconds_spread,serve_cpu_seconds_per_request_spread,peak_rss_bytes_spread,model_bytes_spread,n_train_interactions_spread,n_eval_users_spread,n_seeds
popularity||frac=0.25,software,popularity,0.25,,,,,,,,,,,,,,0.023759959708988,0.057945041816009,0.0,9.174985320023487e-05,8.958746330005419e-05,0.104166666666666,0.104478066666691,0.03125,8.08940661091199e-05,513355776.0,5736.0,2605.0,1674.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1
markov|order=1;smoothing=0.0;decay=false|frac=0.25,software,markov,0.25,,,,,,,,,,,1.0,0.0,0.0,0.176456479262103,0.196535244922341,0.210334528076463,0.004528985507246,0.004692830434782,0.21875,0.219613350000145,0.041015625,0.000155176597968,395444224.0,18100.0,2605.0,1674.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1
markov|order=1;smoothing=0.1;decay=false|frac=0.25,software,markov,0.25,,,,,,,,,,,1.0,0.1,0.0,0.183709191551745,0.219235364396654,0.389964157706093,0.00548245614035,0.005435247368423,0.2265625,0.229676100000006,0.041015625,0.000159843563321,395444224.0,18100.0,2605.0,1674.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1
markov|order=1;smoothing=0.5;decay=false|frac=0.5,software,markov,0.5,,,,,,,,,,,1.0,0.5,0.0,0.218488855040398,0.265830346475507,0.461131023496614,0.00801282051282,0.007857041025638,0.234375,0.23950509999986,0.0328125,0.000159610215053,395444224.0,38584.0,4487.0,1674.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1
markov|order=1;smoothing=0.1;decay=false|frac=0.5,software,markov,0.5,,,,,,,,,,,1.0,0.1,0.0,0.218537321280383,0.265830346475507,0.464237355635205,0.008223684210526,0.008377560526313,0.234375,0.237799700000095,0.038194444444444,0.000162825235629,395444224.0,38584.0,4487.0,1674.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1
markov|order=1;smoothing=0.1;decay=true|frac=1.0,software,markov,1.0,,,,,,,,,,,1.0,0.1,1.0,0.235348037614041,0.293906810035842,0.48321385902031,0.011160714285714,0.010853932142854,0.2421875,0.231826100000034,0.034722222222222,0.000165417994159,395444224.0,72412.0,8044.0,1674.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1
markov|order=1;smoothing=0.5;decay=true|frac=1.0,software,markov,1.0,,,,,,,,,,,1.0,0.5,1.0,0.235366632471109,0.294504181600955,0.485244922341696,0.011574074074074,0.011671485185194,0.25,0.249021849999962,0.034722222222222,0.000170084959511,395444224.0,72412.0,8044.0,1674.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1
