dataset,method,seed,best_quality,best_config_id,n_unique,n_duplicates,spent_cpu_seconds,checkpoint_0.25,checkpoint_0.5,checkpoint_1.0
ml100k,tpe,11,0.079475733232263,als|factors=32;epochs=30;regularisation=0.1;alpha=1.0|frac=1.0,77,316,150.59966251592965,0.071591332341315,0.078916562402482,0.079475733232263
ml100k,successive_halving,11,0.074370280394039,als|factors=64;epochs=15;regularisation=0.01;alpha=1.0|frac=1.0,44,0,145.42317708333331,0.074370280394039,0.074370280394039,0.074370280394039
ml100k,hyperband,11,0.079475733232263,als|factors=32;epochs=30;regularisation=0.1;alpha=1.0|frac=1.0,52,0,146.5126488095238,0.07889310261079,0.079475733232263,0.079475733232263
ml100k,sm2,11,0.078916562402482,als|factors=32;epochs=15;regularisation=0.001;alpha=1.0|frac=1.0,49,0,147.27969124907713,0.07139672607283,0.071759479563012,0.078916562402482
ml100k,bocs,11,0.077170461291231,als|factors=32;epochs=5;regularisation=0.01;alpha=1.0|frac=1.0,54,0,145.93229166666666,0.077170461291231,0.077170461291231,0.077170461291231
ml100k,fmqa,11,0.079068094664324,als|factors=32;epochs=15;regularisation=0.01;alpha=1.0|frac=1.0,63,0,145.4752205516439,0.079068094664324,0.079068094664324,0.079068094664324
ml100k,grid,12,0.073827224517497,itemknn|topk=10;shrink=0.0|frac=1.0,99,0,146.97961418167347,0.073827224517497,0.073827224517497,0.073827224517497
ml100k,random,12,0.078775994455641,als|factors=32;epochs=30;regularisation=0.001;alpha=1.0|frac=1.0,55,1,144.67560106167232,0.076769272305744,0.078174671117688,0.078775994455641
ml100k,tpe,12,0.079031009902108,als|factors=64;epochs=5;regularisation=0.1;alpha=1.0|frac=1.0,83,394,146.67282331628883,0.076887166977308,0.076887166977308,0.079031009902108
ml100k,successive_halving,12,0.079031009902108,als|factors=64;epochs=5;regularisation=0.1;alpha=1.0|frac=1.0,39,0,144.49609375,0.079031009902108,0.079031009902108,0.079031009902108
ml100k,hyperband,12,0.077551795194721,als|factors=64;epochs=5;regularisation=0.01;alpha=1.0|frac=1.0,47,0,150.53943452380952,0.072202953637077,0.076769272305744,0.077551795194721
ml100k,sm2,12,0.076887166977308,markov|order=1;smoothing=0.1;decay=false|frac=1.0,45,0,145.18038013676392,0.063636899302233,0.076887166977308,0.076887166977308
ml100k,bocs,12,0.079475733232263,als|factors=32;epochs=30;regularisation=0.1;alpha=1.0|frac=1.0,51,0,146.31380208333331,0.071679297159898,0.071679297159898,0.079475733232263
ml100k,fmqa,12,0.079031009902108,als|factors=64;epochs=5;regularisation=0.1;alpha=1.0|frac=1.0,69,0,145.25495166574382,0.079031009902108,0.079031009902108,0.079031009902108
ml100k,grid,13,0.073827224517497,itemknn|topk=10;shrink=0.0|frac=1.0,99,0,146.94836418167347,0.073827224517497,0.073827224517497,0.073827224517497
ml100k,random,13,0.07889310261079,als|factors=32;epochs=30;regularisation=0.01;alpha=1.0|frac=1.0,36,0,151.41666666666666,0.07139672607283,0.072202953637077,0.07889310261079
ml100k,tpe,13,0.079031009902108,als|factors=64;epochs=5;regularisation=0.1;alpha=1.0|frac=1.0,72,193,145.02802296551144,0.073251714964692,0.076769272305744,0.079031009902108
ml100k,successive_halving,13,0.079068094664324,als|factors=32;epochs=15;regularisation=0.01;alpha=1.0|frac=1.0,50,0,148.5703125,0.079068094664324,0.079068094664324,0.079068094664324
ml100k,hyperband,13,0.074037910052365,als|factors=64;epochs=30;regularisation=0.1;alpha=1.0|frac=1.0,43,0,162.59765625,0.071883591529523,0.073251714964692,0.074037910052365
