family,epochs,data_fraction,seed,param.factors,param.regularisation,param.alpha,train_cpu_seconds,train_wall_seconds,val_ndcg_at_10,val_recall_at_10,param.latent,param.hidden,param.dropout
als,30,0.5,1,32.0,0.01,1.0,1.09375,1.0871016999990388,0.11595019377747581,0.22048997772828507,,,
als,5,1.0,0,32.0,0.01,1.0,0.171875,0.16386359999887645,0.1332786298517313,0.24053452115812918,,,
als,5,1.0,1,32.0,0.01,1.0,0.1875,0.1880020999997214,0.1228566697145065,0.21603563474387527,,,
als,15,1.0,0,32.0,0.01,1.0,0.546875,0.5604148999991594,0.1280739519918534,0.22494432071269488,,,
als,15,1.0,1,32.0,0.01,1.0,0.453125,0.4538783999996667,0.13342926967918037,0.23162583518930957,,,
als,30,1.0,0,32.0,0.01,1.0,1.0,1.0998116999980994,0.1278266788549484,0.22494432071269488,,,
als,30,1.0,1,32.0,0.01,1.0,0.921875,0.9450296000031813,0.12883083992069216,0.22271714922049,,,
als,5,0.25,0,32.0,0.01,10.0,0.140625,0.1440404999993916,0.07260205793345603,0.1514476614699332,,,
als,5,0.25,1,32.0,0.01,10.0,0.15625,0.20542070000010426,0.07630687719128787,0.155902004454343,,,
als,15,0.25,0,32.0,0.01,10.0,0.484375,0.49303799999688636,0.08600602678576447,0.16481069042316257,,,
als,15,0.25,1,32.0,0.01,10.0,0.484375,0.4826902000022528,0.0871586760016995,0.18262806236080179,,,
