dataset,method,seed,best_quality,best_config_id,n_unique,n_duplicates,spent_cpu_seconds,checkpoint_0.25,checkpoint_0.5,checkpoint_1.0,config_id,test_ndcg_at_10,test_recall_at_10
gift_cards,bocs,0,0.182958840023527,markov|order=2;smoothing=0.5;decay=false|frac=0.5,30,2,28.62548838096756,0.182958840023527,0.182958840023527,0.182958840023527,markov|order=2;smoothing=0.5;decay=false|frac=0.5,0.102650939867976,0.191536748329621
gift_cards,bocs,1,0.182958840023527,markov|order=2;smoothing=0.1;decay=false|frac=0.5,39,1,28.93004507829665,0.178368826997163,0.178368826997163,0.182958840023527,markov|order=2;smoothing=0.1;decay=false|frac=0.5,0.102650939867976,0.191536748329621
gift_cards,bocs,2,0.193607009592108,markov|order=1;smoothing=0.5;decay=true|frac=1.0,41,0,29.91437008512516,0.18979372851436,0.193607009592108,0.193607009592108,markov|order=1;smoothing=0.5;decay=true|frac=1.0,0.122019418232096,0.231625835189309
gift_cards,bocs,3,0.186001736044223,itemknn|topk=50;shrink=100.0|frac=1.0,32,0,29.32961346399576,0.125784289839003,0.186001736044223,0.186001736044223,itemknn|topk=50;shrink=100.0|frac=1.0,0.138014113118069,0.282850779510022
gift_cards,bocs,4,0.182021870088859,itemknn|topk=100;shrink=10.0|frac=0.5,38,0,28.77706506952258,0.170603375379477,0.182021870088859,0.182021870088859,itemknn|topk=100;shrink=10.0|frac=0.5,0.113689491313755,0.236080178173719
gift_cards,bocs,5,0.18979372851436,itemknn|topk=100;shrink=0.0|frac=1.0,29,0,30.88806942385946,0.181836507792356,0.18979372851436,0.18979372851436,itemknn|topk=100;shrink=0.0|frac=1.0,0.14616101173147,0.307349665924276
gift_cards,bocs,6,0.197490449933868,markov|order=1;smoothing=0.5;decay=false|frac=1.0,38,2,28.4398551373598,0.197490449933868,0.197490449933868,0.197490449933868,markov|order=1;smoothing=0.5;decay=false|frac=1.0,0.125182671767754,0.236080178173719
gift_cards,bocs,7,0.197490449933868,markov|order=1;smoothing=0.5;decay=false|frac=1.0,47,0,28.689249136864795,0.193607009592108,0.197490449933868,0.197490449933868,markov|order=1;smoothing=0.5;decay=false|frac=1.0,0.125182671767754,0.236080178173719
gift_cards,bocs,8,0.180881298179788,itemknn|topk=300;shrink=100.0|frac=0.5,37,0,29.23952495873728,0.180881298179788,0.180881298179788,0.180881298179788,itemknn|topk=300;shrink=100.0|frac=0.5,0.116938042457407,0.247216035634743
gift_cards,bocs,9,0.160478029786841,multvae|latent=64;hidden=600;epochs=10;dropout=0.0|frac=1.0,37,0,28.822447390873293,0.14624074792683,0.14624074792683,0.160313996316283,multvae|latent=64;hidden=600;epochs=10;dropout=0.0|frac=1.0,0.124341382579318,0.262806236080178
gift_cards,bocs,10,0.197726006069792,markov|order=1;smoothing=0.1;decay=false|frac=1.0,40,0,29.1699718297119,0.197726006069792,0.197726006069792,0.197726006069792,markov|order=1;smoothing=0.1;decay=false|frac=1.0,0.123876076563843,0.231625835189309
gift_cards,bocs,11,0.175935817506433,multvae|latent=32;hidden=600;epochs=20;dropout=0.5|frac=1.0,40,0,29.057332203882623,0.175194046319217,0.175194046319217,0.175935817506433,multvae|latent=32;hidden=600;epochs=20;dropout=0.5|frac=1.0,0.141110132871141,0.298440979955456
gift_cards,bocs,12,0.193502071228851,markov|order=1;smoothing=0.1;decay=true|frac=1.0,34,0,30.54215057680593,0.18979372851436,0.18979372851436,0.193502071228851,markov|order=1;smoothing=0.1;decay=true|frac=1.0,0.118982058695686,0.22271714922049
gift_cards,bocs,13,0.193607009592108,markov|order=1;smoothing=0.5;decay=true|frac=1.0,35,0,28.56619340343582,0.14624074792683,0.18979372851436,0.191294646615019,markov|order=1;smoothing=0.5;decay=true|frac=1.0,0.122019418232096,0.231625835189309
gift_cards,bocs,14,0.187210772057533,itemknn|topk=50;shrink=10.0|frac=1.0,37,0,29.40726544545989,0.186001736044223,0.186001736044223,0.187210772057533,itemknn|topk=50;shrink=10.0|frac=1.0,0.146907283840557,0.305122494432071
gift_cards,bocs,15,0.184225132023998,itemknn|topk=10;shrink=10.0|frac=1.0,32,0,29.63716247672253,0.126317824127103,0.184225132023998,0.184225132023998,itemknn|topk=10;shrink=10.0|frac=1.0,0.141828687147944,0.300668151447661
gift_cards,bocs,16,0.188993007255284,markov|order=1;smoothing=0.0;decay=true|frac=1.0,40,0,29.65342545303463,0.181836507792356,0.181836507792356,0.188993007255284,markov|order=1;smoothing=0.0;decay=true|frac=1.0,0.108337084575871,0.195991091314031
gift_cards,bocs,17,0.180881298179788,itemknn|topk=100;shrink=100.0|frac=0.5,32,0,28.64417313393702,0.131439141929697,0.142565480580552,0.180881298179788,itemknn|topk=100;shrink=100.0|frac=0.5,0.116938042457407,0.247216035634743
gift_cards,bocs,18,0.197726006069792,markov|order=1;smoothing=0.1;decay=false|frac=1.0,39,0,28.754576310290368,0.186001736044223,0.186001736044223,0.186001736044223,markov|order=1;smoothing=0.1;decay=false|frac=1.0,0.123876076563843,0.231625835189309
gift_cards,bocs,19,0.197490449933868,markov|order=1;smoothing=0.5;decay=false|frac=1.0,32,0,29.098633606822183,0.182958840023527,0.182958840023527,0.197490449933868,markov|order=1;smoothing=0.5;decay=false|frac=1.0,0.125182671767754,0.236080178173719
gift_cards,bocs,20,0.182958840023527,markov|order=2;smoothing=0.5;decay=false|frac=0.5,35,0,28.71690779695038,0.175890756358624,0.182958840023527,0.182958840023527,markov|order=2;smoothing=0.5;decay=false|frac=0.5,0.102650939867976,0.191536748329621
gift_cards,bocs,21,0.190558747137556,markov|order=2;smoothing=0.1;decay=true|frac=1.0,45,0,28.868201145131405,0.190558747137556,0.190558747137556,0.190558747137556,markov|order=2;smoothing=0.1;decay=true|frac=1.0,0.116440605823729,0.220489977728285
gift_cards,bocs,22,0.193607009592108,markov|order=1;smoothing=0.5;decay=true|frac=1.0,42,0,30.303287319165893,0.189495277955462,0.189495277955462,0.193607009592108,markov|order=1;smoothing=0.5;decay=true|frac=1.0,0.122019418232096,0.231625835189309
gift_cards,bocs,23,0.18979372851436,itemknn|topk=300;shrink=0.0|frac=1.0,37,0,28.5995378886372,0.18979372851436,0.18979372851436,0.18979372851436,itemknn|topk=300;shrink=0.0|frac=1.0,0.14616101173147,0.307349665924276
gift_cards,bocs,24,0.197726006069792,markov|order=1;smoothing=0.1;decay=false|frac=1.0,32,0,29.340609801775443,0.169819587412564,0.193502071228851,0.197726006069792,markov|order=1;smoothing=0.1;decay=false|frac=1.0,0.123876076563843,0.231625835189309
gift_cards,bocs,25,0.197726006069792,markov|order=1;smoothing=0.1;decay=false|frac=1.0,36,0,29.203962525663638,0.142467730637313,0.152500731968848,0.197726006069792,markov|order=1;smoothing=0.1;decay=false|frac=1.0,0.123876076563843,0.231625835189309
gift_cards,bocs,26,0.191294646615019,markov|order=2;smoothing=0.5;decay=true|frac=1.0,26,0,31.10650053610607,0.177739654992587,0.184225132023998,0.191294646615019,markov|order=2;smoothing=0.5;decay=true|frac=1.0,0.1191122993413,0.229398663697104
gift_cards,bocs,27,0.190153832497763,itemknn|topk=300;shrink=10.0|frac=1.0,30,0,29.440340583344824,0.190153832497763,0.190153832497763,0.190153832497763,itemknn|topk=300;shrink=10.0|frac=1.0,0.15015579114662,0.316258351893095
gift_cards,bocs,28,0.18979372851436,itemknn|topk=100;shrink=0.0|frac=1.0,36,2,28.778057189668203,0.18979372851436,0.18979372851436,0.18979372851436,itemknn|topk=100;shrink=0.0|frac=1.0,0.14616101173147,0.307349665924276
gift_cards,bocs,29,0.182958840023527,markov|order=2;smoothing=0.1;decay=false|frac=0.5,31,0,28.46204531272302,0.160313996316283,0.180881298179788,0.182958840023527,markov|order=2;smoothing=0.1;decay=false|frac=0.5,0.102650939867976,0.191536748329621
gift_cards,fmqa,0,0.194852833651352,markov|order=2;smoothing=0.1;decay=false|frac=1.0,73,0,30.013857397355924,0.181836507792356,0.191294646615019,0.194852833651352,markov|order=2;smoothing=0.1;decay=false|frac=1.0,0.121416976287017,0.229398663697104
gift_cards,fmqa,1,0.197490449933868,markov|order=1;smoothing=0.5;decay=false|frac=1.0,64,1,29.531108411546107,0.177431031751744,0.177431031751744,0.197490449933868,markov|order=1;smoothing=0.5;decay=false|frac=1.0,0.125182671767754,0.236080178173719
gift_cards,fmqa,2,0.197726006069792,markov|order=1;smoothing=0.1;decay=false|frac=1.0,61,0,30.15485092113126,0.181836507792356,0.181836507792356,0.197726006069792,markov|order=1;smoothing=0.1;decay=false|frac=1.0,0.123876076563843,0.231625835189309
gift_cards,fmqa,3,0.197490449933868,markov|order=1;smoothing=0.5;decay=false|frac=1.0,62,0,28.618494943170237,0.190153832497763,0.190153832497763,0.197490449933868,markov|order=1;smoothing=0.5;decay=false|frac=1.0,0.125182671767754,0.236080178173719
gift_cards,fmqa,4,0.197490449933868,markov|order=1;smoothing=0.5;decay=false|frac=1.0,66,0,31.07618081897978,0.166934241038644,0.197490449933868,0.197490449933868,markov|order=1;smoothing=0.5;decay=false|frac=1.0,0.125182671767754,0.236080178173719
gift_cards,fmqa,5,0.194216683872082,markov|order=2;smoothing=0.5;decay=false|frac=1.0,66,0,28.586257447540746,0.18979372851436,0.18979372851436,0.194216683872082,markov|order=2;smoothing=0.5;decay=false|frac=1.0,0.122060773227591,0.231625835189309
gift_cards,fmqa,6,0.197726006069792,markov|order=1;smoothing=0.1;decay=false|frac=1.0,43,0,31.1225927468778,0.132076588991919,0.182958840023527,0.197726006069792,markov|order=1;smoothing=0.1;decay=false|frac=1.0,0.123876076563843,0.231625835189309
gift_cards,fmqa,7,0.197726006069792,markov|order=1;smoothing=0.1;decay=false|frac=1.0,52,0,28.969086986409824,0.116667543929471,0.116667543929471,0.197726006069792,markov|order=1;smoothing=0.1;decay=false|frac=1.0,0.123876076563843,0.231625835189309
gift_cards,fmqa,8,0.193607009592108,markov|order=1;smoothing=0.5;decay=true|frac=1.0,61,0,28.651756843953585,0.18979372851436,0.18979372851436,0.193607009592108,markov|order=1;smoothing=0.5;decay=true|frac=1.0,0.122019418232096,0.231625835189309
gift_cards,fmqa,9,0.197726006069792,markov|order=1;smoothing=0.1;decay=false|frac=1.0,67,0,28.90835085204529,0.188993007255284,0.197726006069792,0.197726006069792,markov|order=1;smoothing=0.1;decay=false|frac=1.0,0.123876076563843,0.231625835189309
gift_cards,fmqa,10,0.197726006069792,markov|order=1;smoothing=0.1;decay=false|frac=1.0,58,0,28.644008363216688,0.154005780933502,0.197726006069792,0.197726006069792,markov|order=1;smoothing=0.1;decay=false|frac=1.0,0.123876076563843,0.231625835189309
gift_cards,fmqa,11,0.197726006069792,markov|order=1;smoothing=0.1;decay=false|frac=1.0,50,0,28.993646963939945,0.132076588991919,0.177906290399718,0.197726006069792,markov|order=1;smoothing=0.1;decay=false|frac=1.0,0.123876076563843,0.231625835189309
gift_cards,fmqa,12,0.193607009592108,markov|order=1;smoothing=0.5;decay=true|frac=1.0,70,0,28.731307993249317,0.181892927997398,0.190153832497763,0.193607009592108,markov|order=1;smoothing=0.5;decay=true|frac=1.0,0.122019418232096,0.231625835189309
gift_cards,fmqa,13,0.193502071228851,markov|order=1;smoothing=0.1;decay=true|frac=1.0,70,0,28.63332343626663,0.193502071228851,0.193502071228851,0.193502071228851,markov|order=1;smoothing=0.1;decay=true|frac=1.0,0.118982058695686,0.22271714922049
gift_cards,fmqa,14,0.197726006069792,markov|order=1;smoothing=0.1;decay=false|frac=1.0,73,0,29.12816987782332,0.182021870088859,0.197726006069792,0.197726006069792,markov|order=1;smoothing=0.1;decay=false|frac=1.0,0.123876076563843,0.231625835189309
gift_cards,fmqa,15,0.194852833651352,markov|order=2;smoothing=0.1;decay=false|frac=1.0,49,0,28.99871336916144,0.16411248294082,0.190558747137556,0.194852833651352,markov|order=2;smoothing=0.1;decay=false|frac=1.0,0.121416976287017,0.229398663697104
gift_cards,fmqa,16,0.194216683872082,markov|order=2;smoothing=0.5;decay=false|frac=1.0,68,0,29.844332917195825,0.169819587412564,0.182958840023527,0.194216683872082,markov|order=2;smoothing=0.5;decay=false|frac=1.0,0.122060773227591,0.231625835189309
gift_cards,fmqa,17,0.190558747137556,markov|order=2;smoothing=0.1;decay=true|frac=1.0,49,0,30.83559830974273,0.151820462964747,0.151820462964747,0.190558747137556,markov|order=2;smoothing=0.1;decay=true|frac=1.0,0.116440605823729,0.220489977728285
gift_cards,fmqa,18,0.194852833651352,markov|order=2;smoothing=0.1;decay=false|frac=1.0,52,0,31.78079894656501,0.194216683872082,0.194852833651352,0.194852833651352,markov|order=2;smoothing=0.1;decay=false|frac=1.0,0.121416976287017,0.229398663697104
gift_cards,fmqa,19,0.197726006069792,markov|order=1;smoothing=0.1;decay=false|frac=1.0,69,0,30.34219870263064,0.180881298179788,0.197726006069792,0.197726006069792,markov|order=1;smoothing=0.1;decay=false|frac=1.0,0.123876076563843,0.231625835189309
gift_cards,fmqa,20,0.197490449933868,markov|order=1;smoothing=0.5;decay=false|frac=1.0,66,0,28.49203507639834,0.177906290399718,0.193502071228851,0.197490449933868,markov|order=1;smoothing=0.5;decay=false|frac=1.0,0.125182671767754,0.236080178173719
gift_cards,fmqa,21,0.197490449933868,markov|order=1;smoothing=0.5;decay=false|frac=1.0,64,0,28.553454919815486,0.106267049185404,0.186595172931594,0.197490449933868,markov|order=1;smoothing=0.5;decay=false|frac=1.0,0.125182671767754,0.236080178173719
gift_cards,fmqa,22,0.197490449933868,markov|order=1;smoothing=0.5;decay=false|frac=1.0,53,0,28.563397530175607,0.194216683872082,0.197490449933868,0.197490449933868,markov|order=1;smoothing=0.5;decay=false|frac=1.0,0.125182671767754,0.236080178173719
gift_cards,fmqa,23,0.194852833651352,markov|order=2;smoothing=0.1;decay=false|frac=1.0,63,0,28.50368597504385,0.194852833651352,0.194852833651352,0.194852833651352,markov|order=2;smoothing=0.1;decay=false|frac=1.0,0.121416976287017,0.229398663697104
gift_cards,fmqa,24,0.193502071228851,markov|order=1;smoothing=0.1;decay=true|frac=1.0,58,0,29.870205802004183,0.184225132023998,0.190153832497763,0.193502071228851,markov|order=1;smoothing=0.1;decay=true|frac=1.0,0.118982058695686,0.22271714922049
gift_cards,fmqa,25,0.197726006069792,markov|order=1;smoothing=0.1;decay=false|frac=1.0,66,0,30.65924268505261,0.197726006069792,0.197726006069792,0.197726006069792,markov|order=1;smoothing=0.1;decay=false|frac=1.0,0.123876076563843,0.231625835189309
gift_cards,fmqa,26,0.197726006069792,markov|order=1;smoothing=0.1;decay=false|frac=1.0,55,0,30.12949044716523,0.154005780933502,0.197726006069792,0.197726006069792,markov|order=1;smoothing=0.1;decay=false|frac=1.0,0.123876076563843,0.231625835189309
gift_cards,fmqa,27,0.197726006069792,markov|order=1;smoothing=0.1;decay=false|frac=1.0,70,0,28.78590768879719,0.181836507792356,0.181836507792356,0.197726006069792,markov|order=1;smoothing=0.1;decay=false|frac=1.0,0.123876076563843,0.231625835189309
gift_cards,fmqa,28,0.18979372851436,itemknn|topk=300;shrink=0.0|frac=1.0,46,0,28.53339911457114,0.082917113051921,0.126386691238276,0.18979372851436,itemknn|topk=300;shrink=0.0|frac=1.0,0.14616101173147,0.307349665924276
gift_cards,fmqa,29,0.194852833651352,markov|order=2;smoothing=0.1;decay=false|frac=1.0,58,0,30.276873897885324,0.18979372851436,0.18979372851436,0.194852833651352,markov|order=2;smoothing=0.1;decay=false|frac=1.0,0.121416976287017,0.229398663697104
gift_cards,grid,0,0.190153832497763,itemknn|topk=300;shrink=10.0|frac=1.0,96,0,30.04642329863067,0.190153832497763,0.190153832497763,0.190153832497763,itemknn|topk=300;shrink=10.0|frac=1.0,0.15015579114662,0.316258351893095
gift_cards,grid,1,0.190153832497763,itemknn|topk=300;shrink=10.0|frac=1.0,96,0,29.96829829863067,0.190153832497763,0.190153832497763,0.190153832497763,itemknn|topk=300;shrink=10.0|frac=1.0,0.15015579114662,0.316258351893095
gift_cards,grid,2,0.190153832497763,itemknn|topk=300;shrink=10.0|frac=1.0,96,0,29.93704829863067,0.190153832497763,0.190153832497763,0.190153832497763,itemknn|topk=300;shrink=10.0|frac=1.0,0.15015579114662,0.316258351893095
gift_cards,grid,3,0.190153832497763,itemknn|topk=300;shrink=10.0|frac=1.0,96,0,29.96829829863067,0.190153832497763,0.190153832497763,0.190153832497763,itemknn|topk=300;shrink=10.0|frac=1.0,0.15015579114662,0.316258351893095
gift_cards,grid,4,0.190153832497763,itemknn|topk=300;shrink=10.0|frac=1.0,96,0,30.06204829863067,0.190153832497763,0.190153832497763,0.190153832497763,itemknn|topk=300;shrink=10.0|frac=1.0,0.15015579114662,0.316258351893095
gift_cards,grid,5,0.190153832497763,itemknn|topk=300;shrink=10.0|frac=1.0,96,0,29.93704829863067,0.190153832497763,0.190153832497763,0.190153832497763,itemknn|topk=300;shrink=10.0|frac=1.0,0.15015579114662,0.316258351893095
gift_cards,grid,6,0.190153832497763,itemknn|topk=300;shrink=10.0|frac=1.0,96,0,29.96829829863067,0.190153832497763,0.190153832497763,0.190153832497763,itemknn|topk=300;shrink=10.0|frac=1.0,0.15015579114662,0.316258351893095
gift_cards,grid,7,0.190153832497763,itemknn|topk=300;shrink=10.0|frac=1.0,96,0,29.95267329863067,0.190153832497763,0.190153832497763,0.190153832497763,itemknn|topk=300;shrink=10.0|frac=1.0,0.15015579114662,0.316258351893095
gift_cards,grid,8,0.190153832497763,itemknn|topk=300;shrink=10.0|frac=1.0,95,0,28.46829829863067,0.190153832497763,0.190153832497763,0.190153832497763,itemknn|topk=300;shrink=10.0|frac=1.0,0.15015579114662,0.316258351893095
