dataset,family,role,seed,data_fraction,n_train_interactions,n_items,n_users,n_eval_users,train_cpu_seconds,train_wall_seconds,train_cpu_utilisation,train_below_quantum,serve_cpu_seconds,serve_wall_seconds,score_wall_seconds,peak_rss_bytes,model_bytes,val_ndcg_at_10,val_recall_at_10,threads,param.topk,param.shrink,param.order,param.smoothing,param.decay,param.factors,param.epochs,param.regularisation,param.alpha,param.latent,param.hidden,param.dropout
ml100k,multvae,latent,0,1.0,97401,1349,943,943,5.015625,5.0422403999982635,0.9947215130801236,False,0.15625,0.1563386999987415,0.04592920000141021,417423360,7408020,0.055486485459048905,0.1102863202545069,1,,,,,,,20.0,,,128.0,600.0,0.5
ml100k,multvae,epochs,0,1.0,97401,1349,943,943,2.734375,2.732577599999786,1.0006577672305497,False,0.203125,0.19481720000112546,0.04869400000097812,423981056,6946708,0.041940420976280215,0.09225874867444327,1,,,,,,,10.0,,,64.0,600.0,0.5
ml100k,multvae,fraction,0,0.25,24706,1349,943,943,4.9375,4.954037999999855,0.9966617131318218,False,0.171875,0.16903450000245357,0.039898099999845726,423981056,6946708,0.06283411089628875,0.12089077412513255,1,,,,,,,20.0,,,64.0,600.0,0.5
ml100k,multvae,fraction,0,0.5,48939,1349,943,943,4.828125,4.835942000001523,0.9983835620854177,False,0.15625,0.15593059999810066,0.0449348000001919,423981056,6946708,0.04346994026837899,0.1007423117709438,1,,,,,,,20.0,,,64.0,600.0,0.5
ml100k,multvae,corner,0,0.25,24706,1349,943,943,0.9375,0.9477107000020624,0.9892259314978293,False,0.140625,0.13797490000069956,0.03963819999989937,423981056,2473620,0.032238925602249495,0.060445387062566275,1,,,,,,,10.0,,,128.0,200.0,0.0
luxury_beauty,popularity,cheap,0,0.25,6446,1347,3582,3281,0.0,0.00017459999799029902,0.0,True,0.28125,0.2924189000004844,0.11883220000163419,423981056,10776,0.031821636284876935,0.07619628162145688,1,,,,,,,,,,,,
luxury_beauty,itemknn,cheap,0,0.25,6446,1347,3582,3281,0.046875,0.05166989999997895,0.9072012912743995,True,0.34375,0.3416601000026276,0.12962970000080531,556564480,14515272,0.1830058552329247,0.22706491923194147,1,300.0,0.0,,,,,,,,,,
luxury_beauty,markov,cheap,0,0.25,6446,1347,3582,3281,0.015625,0.017738599999574944,0.8808474175174145,True,0.609375,0.6150605999973777,0.1190320999994583,571080704,71744,0.2131528013543793,0.2517525144772935,1,,,2.0,0.1,True,,,,,,,
luxury_beauty,popularity,cheap,0,0.5,10792,1347,3582,3281,0.0,0.00022639999951934442,0.0,True,0.28125,0.28952279999793973,0.11952899999960209,571080704,10776,0.030595481469863697,0.07558671136848522,1,,,,,,,,,,,,
luxury_beauty,itemknn,cheap,0,0.5,10792,1347,3582,3281,0.0625,0.0629028000003018,0.9935964694687699,False,0.359375,0.3545269999995071,0.12144009999974514,571080704,14515272,0.2033301799658247,0.30021334958854007,1,300.0,0.0,,,,,,,,,,
