dataset,quantile,tau,feasible_fraction,post_filter_config_id,post_filter_quality,scalarise_config_id,scalarise_quality,scalarise_feasible,slack_qubo_config_id,slack_qubo_quality,slack_qubo_feasible
ml100k,0.1,0.15625,0.11040339702760085,markov|order=1;smoothing=0.1;decay=false|frac=1.0,0.076887166977308,markov|order=1;smoothing=0.5;decay=false|frac=1.0,0.076887166977308,True,itemknn|topk=300;shrink=10.0|frac=1.0,0.068330400778009,False
ml100k,0.25,0.5546875,0.2505307855626327,markov|order=1;smoothing=0.1;decay=false|frac=1.0,0.076887166977308,markov|order=1;smoothing=0.5;decay=false|frac=1.0,0.076887166977308,True,itemknn|topk=50;shrink=10.0|frac=1.0,0.069934877014981,True
ml100k,0.5,1.8125,0.5010615711252654,als|factors=64;epochs=5;regularisation=0.1;alpha=1.0|frac=1.0,0.079031009902108,markov|order=1;smoothing=0.5;decay=false|frac=1.0,0.076887166977308,True,markov|order=1;smoothing=0.1;decay=false|frac=1.0,0.076887166977308,True
ml100k,0.75,3.4609375,0.7494692144373672,als|factors=32;epochs=15;regularisation=0.01;alpha=1.0|frac=1.0,0.079068094664324,markov|order=1;smoothing=0.5;decay=false|frac=1.0,0.076887166977308,True,als|factors=32;epochs=30;regularisation=0.01;alpha=1.0|frac=1.0,0.07889310261079,False
ml100k,1.0,20.25,1.0,als|factors=32;epochs=30;regularisation=0.1;alpha=1.0|frac=1.0,0.079475733232263,als|factors=64;epochs=5;regularisation=0.1;alpha=1.0|frac=1.0,0.079031009902108,True,als|factors=32;epochs=15;regularisation=0.1;alpha=1.0|frac=1.0,0.078174671117688,True
